element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 1	5618.633	561.8633	-1.276	4.209	33947.85786	2.0	6.415	51740.465	2.0	5.0	1.49	1.13	AO	155000000.0	8.19	-5.57	732.214	-7.264	732.214	1.0	0.58	51.85	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5636.696	563.6696	-2.56	3.64	29358.5656	2.0	5.839	47094.711	3.0	7.0	1.16	1.16	AO	40700000.0	7.61	-6.05	368.31	-7.581	368.31	1.0	0.27	16.6	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5638.262	563.8262	-0.81	4.22	34036.5788	4.0	6.419	51772.727	3.0	7.0	1.34	1.49	AO	240000000.0	8.38	-5.34	730.235	-7.269	730.235	1.0	0.66	73.77	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5649.987	564.9987	-0.8	5.0995	41130.22123	1.0	7.293	58822.012	2.0	5.0	-0.01	0.34	AO	759000000.0	8.88	-5.29	719.265	-7.282	719.265	1.0	0.38	27.96	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5651.469	565.1469	-1.75	4.473	36077.16042	3.0	6.667	53772.982	4.0	9.0	0.79	1.23	AO	186000000.0	8.27	-5.41	898.278	-7.187	898.278	1.0	0.18	11.83	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5661.348	566.1348	-1.756	4.2843	34555.193022	0.0	6.474	52216.332	1.0	3.0	0.0	1.42	AO	100000000.0	8.0	-5.47	765.209	-7.244	765.209	1.0	0.37	26.22	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5679.023	567.9023	-0.75	4.652	37520.89208	2.0	6.835	55127.993	3.0	7.0	0.69	1.07	AO	162000000.0	8.21	-5.06	1106.291	-7.099	1106.291	1.0	0.55	50.61	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5696.089	569.6089	-1.72	4.548	36682.07592	4.0	6.725	54240.783	4.0	9.0	1.25	0.9	AO	214000000.0	8.33	-4.54	965.279	-7.156	965.279	1.0	0.26	17.69	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5701.544	570.1544	-2.216	2.559	20639.71686	4.0	4.733	38174.22	3.0	7.0	1.24	1.32	AO	162000000.0	8.21	-5.91	361.237	-7.576	361.237	1.0	0.72	82.22	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5705.464	570.5464	-1.355	4.301	34689.88754	1.0	6.474	52216.332	1.0	3.0	-0.02	1.42	AO	240000000.0	8.38	-5.47	744.231	-7.26	744.231	1.0	0.52	43.44	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5855.076	585.5076	-1.478	4.6075	37161.97555	3.0	6.725	54240.783	4.0	9.0	1.09	0.9	AO	214000000.0	8.33	-4.54	962.279	-7.158	962.279	1.0	0.33	24.72	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5905.672	590.5672	-0.69	4.652	37520.89208	2.0	6.751	54450.488	1.0	3.0	0.69	1.47	AO	214000000.0	8.33	-4.76	994.282	-7.144	994.282	1.0	0.58	61.69	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5916.247	591.6247000000001	-2.936	2.453	19784.76962	4.0	4.549	36690.16	4.0	9.0	0.81	1.25	AO	117000000.0	8.07	-6.09	341.238	-7.601	341.238	1.0	0.59	50.43	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5927.789	592.7789	-1.04	4.652	37520.89208	2.0	6.743	54385.963	1.0	3.0	0.69	0.76	AO	209000000.0	8.32	-6.06	984.281	-7.148	984.281	1.0	0.47	41.3	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5934.655	593.4655	-1.07	3.928	31681.44112	2.0	6.017	48530.378	3.0	7.0	1.17	1.11	AO	60300000.0	7.78	-5.29	959.247	-7.153	959.247	1.0	0.64	77.32	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5956.694	595.6694	-4.605	0.8589	6927.492306	5.0	2.94	23712.699	4.0	9.0	1.4	1.75	AO	10000.0	4.0	-6.17	227.252	-7.78	227.252	1.0	0.61	49.67	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5987.065	598.7065	-0.212	4.795	38674.2643	2.0	6.866	55378.025	1.0	3.0	1.15	1.46	GA	200000000.0	8.3	-4.86	-7.42	-7.42	-7.42	1.0	0.61	67.12	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6003.012	600.3012	-1.06	3.881	31302.36074	4.0	5.946	47957.725	4.0	9.0	1.25	1.29	AO	56200000.0	7.75	-5.38	898.241	-7.181	898.241	1.0	0.65	83.13	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6005.541	600.5541000000001	-3.43	2.588	20873.61752	3.0	4.652	37520.911	2.0	5.0	1.07	0.69	GA	117000000.0	8.07	-6.29	-7.75	-7.75	-7.75	1.0	0.28	18.08	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6024.058	602.4058	-0.02	4.548	36682.07592	4.0	6.606	53280.984	5.0	11.0	1.25	1.22	AO	209000000.0	8.32	-5.06	823.275	-7.225	823.275	1.0	0.68	109.93	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6027.05	602.705	-1.09	4.0758	32873.527932	4.0	6.132	49457.916	5.0	11.0	1.26	1.16	GA	102000000.0	8.01	-6.03	-7.78	-7.78	-7.78	1.0	0.62	63.74	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6056.005	605.6005	-0.45	4.733	38174.20082	3.0	6.78	54684.388	4.0	9.0	1.32	1.14	AO	209000000.0	8.32	-4.95	1029.286	-7.13	1029.286	1.0	0.61	74.97	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6065.482	606.5482	-1.53	2.6085	21038.96109	2.0	4.652	37520.911	2.0	5.0	0.66	0.69	AO	117000000.0	8.07	-6.29	354.234	-7.584	354.234	1.0	0.75	127.29	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6079.009	607.9009	-1.1	4.652	37520.89208	2.0	6.691	53966.555	2.0	5.0	0.69	1.42	AO	214000000.0	8.33	-4.5	920.276	-7.177	920.276	1.0	0.45	39.83	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6082.711	608.2711	-3.573	2.223	17929.69542	1.0	4.26	34359.217	1.0	3.0	2.5	1.5	AO	4900000.0	6.69	-6.13	306.271	-7.654	306.271	1.0	0.46	34.01	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6093.644	609.3644	-1.3	4.607	37157.942780000005	3.0	6.642	53571.343	2.0	5.0	1.09	1.4	AO	214000000.0	8.33	-4.57	866.274	-7.203	866.274	1.0	0.31	24.07	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6096.665	609.6665	-1.81	3.9841	32133.917914	2.0	6.017	48530.378	3.0	7.0	0.68	1.11	AO	56200000.0	7.75	-5.29	963.25	-7.152	963.25	1.0	0.39	31.67	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6151.618	615.1618000000001	-3.299	2.1759	17549.808485999998	3.0	4.191	33802.695	2.0	5.0	1.67	1.5	AO	195000000.0	8.29	-6.16	277.263	-7.696	277.263	1.0	0.57	49.49	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6157.728	615.7728	-1.22	4.076	32875.141039999995	4.0	6.089	49111.097	4.0	9.0	1.26	1.18	GA	77600000.0	7.89	-6.03	-7.79	-7.79	-7.79	1.0	0.58	56.2	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6165.36	616.536	-1.46	4.1426	33412.306004	3.0	6.153	49627.292	4.0	9.0	1.07	0.91	GA	100000000.0	8.0	-6.02	-7.78	-7.78	-7.78	1.0	0.51	43.49	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6173.335	617.3335	-2.88	2.223	17929.69542	1.0	4.231	34125.317	0.0	1.0	2.5	0.0	AO	204000000.0	8.31	-6.16	281.266	-7.69	281.266	1.0	0.65	67.25	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6187.99	618.799	-1.67	3.943	31802.42422	3.0	5.946	47957.725	4.0	9.0	1.09	1.29	AO	56200000.0	7.75	-5.38	903.244	-7.179	903.244	1.0	0.49	44.5	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6200.313	620.0313	-2.437	2.6085	21038.96109	2.0	4.608	37166.027	3.0	7.0	0.66	1.09	AO	120000000.0	8.08	-6.29	350.235	-7.589	350.235	1.0	0.65	71.09	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6213.43	621.3430000000001	-2.52	2.2227	17927.275758	1.0	4.218	34020.465	1.0	3.0	2.5	1.49	AO	204000000.0	8.31	-6.16	280.265	-7.691	280.265	1.0	0.69	86.87	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6219.281	621.9281	-2.433	2.198	17728.05692	2.0	4.191	33802.695	2.0	5.0	1.82	1.5	AO	195000000.0	8.29	-6.16	278.264	-7.694	278.264	1.0	0.7	90.77	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6226.736	622.6736	-2.1	3.883	31318.49182	3.0	5.874	47377.005	4.0	9.0	1.32	1.33	AO	67600000.0	7.83	-5.27	845.244	-7.208	845.244	1.0	0.31	23.3	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6240.646	624.0645999999999	-3.233	2.2227	17927.275758	1.0	4.209	33947.875	2.0	5.0	2.5	1.49	AO	6460000.0	6.81	-6.13	301.272	-7.661	301.272	1.0	0.57	50.86	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6252.555	625.2555	-1.687	2.404	19389.55816	6.0	4.387	35383.542	5.0	11.0	1.16	1.25	AO	105000000.0	8.02	-6.07	326.245	-7.621	326.245	1.0	0.75	131.11	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6265.134	626.5134	-2.55	2.1759	17549.808485999998	3.0	4.154	33504.27	3.0	7.0	1.67	1.49	AO	200000000.0	8.3	-6.16	274.261	-7.7	274.261	1.0	0.69	85.95	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6270.225	627.0225	-2.54	2.858	23051.31332	0.0	4.835	38996.905	1.0	3.0	0.0	0.49	AO	158000000.0	8.2	-5.88	350.249	-7.591	350.249	1.0	0.59	57.88	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6271.279	627.1279000000001	-2.703	3.332	26874.37928	5.0	5.309	42819.973	5.0	11.0	1.4	1.59	AO	166000000.0	8.22	-5.41	720.247	-7.278	720.247	1.0	0.33	25.39	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6380.743	638.0743	-1.376	4.186	33762.35044	2.0	6.129	49433.719	2.0	5.0	0.68	0.68	GA	75900000.0	7.88	-6.03	-7.79	-7.79	-7.79	1.0	0.52	46.5	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6392.539	639.2538999999999	-4.03	2.279	18381.36566	2.0	4.218	34020.465	1.0	3.0	1.51	1.49	AO	204000000.0	8.31	-6.16	310.243	-7.643	310.243	1.0	0.22	15.09	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6430.846	643.0845999999999	-2.006	2.1759	17549.808485999998	3.0	4.103	33092.927	4.0	9.0	1.67	1.5	AO	195000000.0	8.29	-6.16	271.257	-7.704	271.257	1.0	0.73	120.74	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6498.939	649.8939	-4.699	0.9581	7727.593873999999	3.0	2.865	23107.784	3.0	7.0	1.25	1.51	AO	22900.0	4.36	-6.21	226.253	-7.782	226.253	1.0	0.51	42.13	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	6593.871	659.3871	-2.422	2.4326	19620.232604	5.0	4.313	34786.691	5.0	11.0	1.04	1.22	AO	102000000.0	8.01	-6.08	321.247	-7.629	321.247	1.0	0.65	82.3	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6597.561	659.7561	-0.98	4.795	38674.2643	2.0	6.674	53829.441	3.0	7.0	1.15	1.11	AO	251000000.0	8.4	-4.69	893.276	-7.19	893.276	1.0	0.39	36.4	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6625.022	662.5022	-5.336	1.011	8154.260939999999	1.0	2.882	23244.898	1.0	3.0	-0.01	1.55	GA	11500.0	4.06	-6.21	-7.83	-7.83	-7.83	1.0	0.2	13.95	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6677.987	667.7987	-1.418	2.692	21712.43368	5.0	4.549	36690.16	4.0	9.0	1.2	1.25	AO	117000000.0	8.07	-6.09	313.268	-7.643	313.268	1.0	0.72	133.82	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6703.567	670.3567	-3.023	2.7585	22248.792090000003	3.0	4.608	37166.027	3.0	7.0	0.76	1.09	AO	120000000.0	8.08	-6.28	320.264	-7.633	320.264	1.0	0.38	30.24	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6705.102	670.5101999999999	-0.98	4.607	37157.942780000005	2.0	6.456	52071.152	2.0	5.0	1.84	1.81	GA	251000000.0	8.4	-4.47	-7.48	-7.48	-7.48	1.0	0.34	29.26	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6710.319	671.0319000000001	-4.88	1.485	11977.3269	4.0	3.332	26874.393	5.0	11.0	1.25	1.4	AO	18600000.0	7.27	-6.15	252.246	-7.733	252.246	1.0	0.2	13.93	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6713.745	671.3745	-1.4	4.795	38674.2643	2.0	6.642	53571.343	2.0	5.0	1.15	1.4	AO	257000000.0	8.41	-4.57	857.272	-7.207	857.272	1.0	0.19	15.25	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6725.357	672.5357	-2.19	4.103	33092.910619999995	4.0	5.946	47957.725	4.0	9.0	1.5	1.29	AO	251000000.0	8.4	-5.38	897.241	-7.181	897.241	1.0	0.18	14.29	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6726.667	672.6667	-1.03	4.607	37157.942780000005	2.0	6.45	52022.759	1.0	3.0	1.84	2.43	GA	229000000.0	8.36	-4.69	-7.52	-7.52	-7.52	1.0	0.44	41.17	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6733.151	673.3151	-1.47	4.638	37407.97452	1.0	6.479	52256.66	0.0	1.0	2.5	0.0	AO	257000000.0	8.41	-5.36	781.273	-7.247	781.273	1.0	0.25	20.77	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6739.522	673.9522	-4.79	1.557	12558.04578	3.0	3.397	27398.653	3.0	7.0	1.09	1.25	AO	17400000.0	7.24	-6.15	256.244	-7.726	256.244	1.0	0.2	14.35	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6750.152	675.0152	-2.621	2.4241	19551.675514	1.0	4.26	34359.217	1.0	3.0	1.5	1.5	AO	4900000.0	6.69	-6.13	335.241	-7.609	335.241	1.0	0.61	73.53	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6752.707	675.2707	-1.204	4.638	37407.97452	1.0	6.474	52216.332	1.0	3.0	2.5	1.42	AO	263000000.0	8.42	-5.47	778.274	-7.249	778.274	1.0	0.4	37.25	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6793.259	679.3259	-2.326	4.076	32875.141039999995	4.0	5.9	47586.71	4.0	9.0	1.26	1.15	GA	36300000.0	7.56	-5.99	-7.82	-7.82	-7.82	1.0	0.19	14.02	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6806.845	680.6845000000001	-3.11	2.727	21994.72758	4.0	4.549	36690.16	4.0	9.0	1.05	1.25	AO	117000000.0	8.07	-6.09	313.268	-7.643	313.268	1.0	0.37	29.62	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6810.263	681.0263	-0.986	4.607	37157.942780000005	2.0	6.427	51837.251	3.0	7.0	1.84	1.66	AO	263000000.0	8.42	-5.23	873.275	-7.199	873.275	1.0	0.47	51.25	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6837.006	683.7006	-1.687	4.593	37045.02522	4.0	6.406	51667.875	4.0	9.0	1.25	1.07	AO	70800000.0	7.85	-6.12	273.258	-7.701	273.258	1.0	0.24	18.2	d	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6839.83	683.983	-3.35	2.559	20639.71686	4.0	4.371	35254.493	4.0	9.0	1.24	1.1	AO	112000000.0	8.05	-6.06	330.248	-7.617	330.248	1.0	0.34	26.62	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6843.656	684.3656	-0.86	4.548	36682.07592	4.0	6.36	51296.86	3.0	7.0	1.25	1.35	AO	269000000.0	8.43	-5.29	736.216	-7.262	736.216	1.0	0.5	56.73	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6858.15	685.8149999999999	-0.93	4.607	37157.942780000005	3.0	6.415	51740.465	2.0	5.0	1.09	1.13	AO	269000000.0	8.43	-5.57	765.211	-7.245	765.211	1.0	0.49	53.78	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 2	5197.577	519.7577	-2.22	3.2306	26056.533524	2.5	5.615	45288.03	1.5	4.0	0.57	0.45	AO	288000000.0	8.46	-6.53	180.247	-7.88	180.247	1.0	0.77	91.65	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	5234.625	523.4625	-2.18	3.2215	25983.13711	3.5	5.589	45078.325	2.5	6.0	0.98	1.07	AO	288000000.0	8.46	-6.53	180.249	-7.88	180.249	1.0	0.75	85.48	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	5264.812	526.4812	-3.13	3.2304	26054.920416	2.5	5.585	45046.063	1.5	4.0	0.57	1.15	AO	363000000.0	8.56	-6.53	186.3	-7.875	186.3	1.0	0.59	45.87	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	5325.553	532.5553	-3.16	3.2215	25983.13711	3.5	5.549	44755.704	3.5	8.0	0.98	1.29	AO	295000000.0	8.47	-6.53	179.252	-7.883	179.252	1.0	0.59	46.26	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	5414.073	541.4073000000001	-3.58	3.2215	25983.13711	3.5	5.511	44449.213	3.5	8.0	0.98	1.4	AO	363000000.0	8.56	-6.53	185.303	-7.878	185.303	1.0	0.43	29.2	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	5425.257	542.5256999999999	-3.22	3.1996	25806.501784	4.5	5.484	44231.443	4.5	10.0	1.15	1.32	AO	288000000.0	8.46	-6.53	178.255	-7.886	178.255	1.0	0.57	45.59	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6084.111	608.4111	-3.79	3.1996	25806.501784	4.5	5.237	42239.254	3.5	8.0	1.15	1.4	AO	347000000.0	8.54	-6.53	173.223	-7.892	173.223	1.0	0.31	21.68	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6247.557	624.7556999999999	-2.3	3.8918	31389.468572	2.5	5.876	47393.137	1.5	4.0	1.33	1.72	AO	316000000.0	8.5	-6.53	186.272	-7.87	186.272	1.0	0.54	54.81	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6369.462	636.9462000000001	-4.11	2.8912	23319.089248	2.5	4.837	39013.036	1.5	4.0	2.0	1.86	AO	295000000.0	8.47	-6.53	169.204	-7.899	169.204	1.0	0.26	19.0	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6416.919	641.6919	-2.64	3.8918	31389.468572	2.5	5.823	46965.663	2.5	6.0	1.33	1.59	AO	316000000.0	8.5	-6.53	185.276	-7.873	185.276	1.0	0.45	40.29	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6432.68	643.268	-3.57	2.8912	23319.089248	2.5	4.818	38859.791	2.5	6.0	2.0	1.65	AO	295000000.0	8.47	-6.53	169.204	-7.899	169.204	1.0	0.49	44.37	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 2	6456.383	645.6383	-2.05	3.9036	31484.641944	3.5	5.823	46965.663	2.5	6.0	1.41	1.59	AO	316000000.0	8.5	-6.53	185.276	-7.873	185.276	1.0	0.57	64.31	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
K 1	7698.974	769.8974000000001	-0.168	0.0	0.0	0.5	1.61	12985.526	0.5	2.0	2.0	0.67	AO	39800000.0	7.6	-5.64	485.232	-7.445	485.232	1.0	0.61	139.01	s	p	F	0	1	19.0	19.0	19.0	Melendez2014	F	T	T	F	T	T
La 2	4662.5	466.25	-1.24	0.0	0.0	2.0	2.658	21438.216	1.0	3.0	0.72	0.54	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.19	7.25	d	f	F	0	2	57.1	57.0	57.01	Melendez2014	T	T	T	F	T	T
La 2	4748.73	474.87299999999993	-0.54	0.9265	7472.72281	4.0	3.537	28527.829	5.0	11.0	1.0	1.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.13	4.83	d	f	F	0	2	57.1	57.0	57.01	Melendez2014	T	T	T	F	T	T
La 2	5303.53	530.353	-1.35	0.3213	2591.458002	2.0	2.658	21438.216	1.0	3.0	1.13	0.54	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.08	3.23	d	f	F	0	2	57.1	57.0	57.01	Melendez2014	T	T	T	F	T	T
Mg 1	4571.095	457.1095	-5.623	0.0	0.0	0.0	2.712	21873.755	1.0	3.0	99.0	99.0	GA	100000.0	2.34	0.0	-6.97	-6.97	-6.97	1.0	0.3	936.1	s	p	F	0	1	12.0	12.0	12.0	Melendez2014	T	T	T	F	T	T
Mg 1	4730.04	473.004	-2.389	4.34	35004.4436	1.0	6.966	56184.58	0.0	1.0	99.0	99.0	99	513000000.0	8.71	0.0	0.0	0.0	2.5	1.0	0.61	57.62	p	s	F	0	1	12.0	12.0	12.0	Melendez2014	T	T	T	F	T	T
Mg 1	5711.088	571.1088	-1.729	4.345	35044.7713	1.0	6.516	52555.085	0.0	1.0	99.0	99.0	99	513000000.0	8.71	0.0	0.0	0.0	2.5	1.0	0.66	100.85	p	s	F	0	1	12.0	12.0	12.0	Melendez2014	T	T	T	F	T	T
Mg 1	6319.236	631.9236	-2.165	5.108	41198.77832	1.0	7.069	57015.331	1.0	3.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.21	22.2	s	p	F	0	1	12.0	12.0	12.0	Melendez2014	T	T	T	F	T	T
Mn 1	5004.891	500.4891	-1.63	2.9197	23548.957138	2.5	5.396	43521.675	3.5	8.0	1.37	1.4	AO	57500000.0	7.76	-6.13	301.251	-7.657	301.251	1.0	0.25	13.46	s	p	F	0	1	25.0	25.0	25.0	Melendez2014	T	T	T	T	T	T
Mn 1	5399.47	539.947	-0.104	3.85	31052.329	1.5	6.149	49595.03	1.5	4.0	1.73	2.0	GA	79400000.0	7.9	-5.39	-7.59	-7.59	-7.59	1.0	0.42	27.25	p	s	F	0	1	25.0	25.0	25.0	Melendez2014	T	T	T	T	T	T
Mo 1	3158.16	315.816	-0.31	0.0	0.0	3.0	3.925	31657.26	3.0	7.0	1.99	1.74	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.48	14.36	s	p	F	0	1	42.0	42.0	42.0	Melendez2014	T	T	T	F	T	T
Mo 1	3193.97	319.397	0.07	0.0	0.0	3.0	3.881	31302.376	2.0	5.0	1.99	2.27	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.75	25.72	s	p	F	0	1	42.0	42.0	42.0	Melendez2014	T	T	T	F	T	T
Na 1	4751.822	475.1822	-2.078	2.1044	16973.122376	1.5	4.713	38012.909	0.5	2.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.0	1.0	0.14	10.6	p	s	F	0	1	11.0	11.0	11.0	Melendez2014	T	T	T	F	T	T
Na 1	5148.838	514.8838	-2.044	2.1023	16956.184742	0.5	4.51	36375.603	0.5	2.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.0	1.0	0.15	11.68	p	s	F	0	1	11.0	11.0	11.0	Melendez2014	T	T	T	F	T	T
Na 1	6154.225	615.4225	-1.547	2.1023	16956.184742	0.5	4.116	33197.779	0.5	2.0	99.0	99.0	99	70800000.0	7.85	-4.39	0.0	0.0	2.0	1.0	0.31	31.14	p	s	F	0	1	11.0	11.0	11.0	Melendez2014	T	T	T	F	T	T
Na 1	6160.747	616.0747	-1.246	2.1044	16973.122376	1.5	4.116	33197.779	0.5	2.0	99.0	99.0	99	70800000.0	7.85	-4.39	0.0	0.0	2.0	1.0	0.43	48.36	p	s	F	0	1	11.0	11.0	11.0	Melendez2014	T	T	T	F	T	T
