element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Ti 2	4583.408	458.3408	-2.870	1.1650	9396.354	1.5	3.8690	31205.590	2.5	6.0	1.740	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.530	30.130	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cr 2	4588.199	458.8199	-0.594	4.0710	32834.813	3.5	6.7730	54627.930	2.5	6.0	1.230	1.380	AO	2.34E+08	8.370	-6.570	232.218	-7.764	232.218	1.000	0.770	74.330	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cr 2	4592.049	459.2049	-1.252	4.0730	32850.944	2.5	6.7730	54627.930	2.5	6.0	1.030	1.380	AO	1.00E+05	0.000	0.000	232.233	-7.767	232.233	1.000	0.660	48.650	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Sr 1	4607.338	460.7338	0.283	0.0000	0.000	0.0	2.6900	21696.313	1.0	3.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.790	53.960	s	p	F	0	1	38.0	38.0	38.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 2	4657.212	465.7212	-2.470	1.2430	10025.466	2.5	3.9040	31487.884	3.5	8.0	1.600	1.150	GA	1.45E+08	8.160	-6.410	-7.850	-7.850	-7.850	1.000	0.720	51.710	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Zn 1	4722.159	472.2159	-0.380	4.0300	32504.126	1.0	6.6550	53676.195	1.0	3.0	1.500	2.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.770	69.630	p	s	F	0	1	30.0	30.0	30.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Mg 1	4730.040	473.0040	-2.389	4.3400	35004.444	1.0	6.9660	56184.580	0.0	1.0	99.000	99.000	99	5.13E+08	8.710	0.000	0.000	0.000	2.500	1.000	0.610	57.620	p	s	F	0	1	12.0	12.0	12.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 1	4758.120	475.8120	0.425	2.2492	18141.013	5.0	4.8540	39150.151	5.0	11.0	1.020	1.020	AO	1.20E+08	8.080	-6.040	326.246	-7.621	326.246	1.000	0.690	49.270	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	4759.272	475.9272	0.514	2.2555	18191.825	6.0	4.8600	39198.544	6.0	13.0	1.170	1.180	AO	1.20E+08	8.080	-6.040	327.246	-7.620	327.246	1.000	0.710	52.670	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 2	4779.985	477.9985	-1.260	2.0477	16515.806	0.5	4.6410	37432.190	0.5	2.0	0.660	2.090	GA	1.70E+08	8.230	-6.460	-7.860	-7.860	-7.860	1.000	0.740	63.150	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Zn 1	4810.534	481.0534	-0.160	4.0800	32907.403	2.0	6.6550	53676.195	1.0	3.0	1.500	2.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.780	77.250	p	s	F	0	1	30.0	30.0	30.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 1	4820.410	482.0410	-0.439	1.5024	12117.667	4.0	4.0740	32859.026	3.0	7.0	0.980	0.990	AO	1.62E+08	8.210	-5.940	324.250	-7.625	324.250	1.000	0.630	41.940	X	X	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
