element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	4911.193	491.1193	-0.537	3.1230	25188.681	2.5	5.6470	45546.127	1.5	4.0	1.200	1.310	GA	1.82E+08	8.260	-6.330	-7.830	-7.830	-7.830	1.000	0.610	45.630	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	491.1199	491.0909	491.1329		113045	113016	113058	0.389	0.369	491.0909	491.1329	113016	113058	491.1197	0.0048	-0.3882	1.000	9999.0000	0.0015	0.0113	6.8750	43606	0.388	0.374	0.0047	-5.02	46.5	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4913.616	491.3616	0.161	1.8731	15107.563	3.0	4.3960	35456.131	4.0	9.0	0.740	0.790	AO	7.08E+07	7.850	-5.890	327.244	-7.619	327.244	1.000	0.700	53.580	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	491.3619	491.3429	491.3799		113287	113268	113305	0.425	0.405	491.3429	491.3799	113268	113305	491.3619	0.0045	-0.4234	1.000	9999.0000	0.0014	0.0106	6.4937	46167	0.423	0.419	0.0048	-5.01	48.0	0.0	0.0	0.000	0.000	0.0000	0.014	0.0000	0.0000	0	0.000	False	False	False
Cr 1	4936.335	493.6335	-0.250	3.1128	25106.413	3.0	5.6240	45360.619	4.0	9.0	0.970	0.820	AO	8.13E+07	7.910	-5.970	342.245	-7.600	342.245	1.000	0.640	45.770	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	493.6341	493.6201	493.6511		115559	115545	115576	0.384	0.363	493.6201	493.6511	115545	115576	493.6340	0.0044	-0.3828	1.000	9999.0000	0.0016	0.0104	6.3106	47506	0.383	0.378	0.0042	-5.07	42.3	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4953.208	495.3208	-0.660	3.7397	30162.700	2.0	6.2420	50345.126	2.0	5.0	0.990	0.950	AO	1.35E+08	8.130	-5.440	766.234	-7.248	766.234	1.000	0.700	60.830	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	495.3212	495.3042	495.3432		117246	117229	117268	0.456	0.435	495.3042	495.3432	117229	117268	495.3211	0.0047	-0.4548	1.000	9999.0000	0.0013	0.0110	6.6610	45007	0.455	0.452	0.0053	-4.97	53.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Ni 1	5010.938	501.0938	-0.870	3.6350	29318.238	3.0	6.1090	49272.408	3.0	7.0	1.090	1.320	AO	1.82E+08	8.260	-4.370	824.278	-7.225	824.278	1.000	0.650	51.640	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	501.0946	501.0696	501.1086		123019	122994	123033	0.411	0.391	501.0696	501.1086	122994	123033	501.0941	0.0044	-0.4131	1.000	9999.0000	0.0014	0.0104	6.2156	48232	0.413	0.409	0.0046	-5.04	45.7	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5022.871	502.2871	-0.434	0.8258	6660.523	3.0	3.2940	26567.902	3.0	7.0	1.250	0.910	AO	8.71E+07	7.940	-6.050	317.245	-7.633	317.245	1.000	0.780	76.220	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	502.2867	502.2657	502.3047		124211	124190	124229	0.587	0.567	502.2657	502.3047	124190	124229	502.2871	0.0047	-0.5890	1.000	9999.0000	0.0011	0.0110	6.5781	45574	0.589	0.585	0.0069	-4.86	69.1	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5044.211	504.4211	-2.058	2.8512	22996.468	4.0	5.3090	42819.973	5.0	11.0	1.490	1.590	AO	1.48E+08	8.170	-5.410	713.238	-7.280	713.238	1.000	0.760	78.580	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	504.4219	504.4059	504.4399		126346	126330	126364	0.557	0.536	504.4059	504.4399	126330	126364	504.4216	0.0049	-0.5564	1.000	9999.0000	0.0013	0.0116	6.9203	43321	0.556	0.547	0.0069	-4.86	69.0	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5054.642	505.4642	-1.921	3.6400	29358.566	2.0	6.0920	49135.294	3.0	7.0	1.160	1.210	AO	3.39E+07	7.530	-6.100	353.313	-7.599	353.313	1.000	0.620	43.190	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	505.4640	505.4429	505.4880		127388	127367	127412	0.335	0.315	505.4429	505.4880	127367	127412	505.4644	0.0044	-0.3358	1.000	9999.0000	0.0015	0.0104	6.1564	48696	0.336	0.330	0.0037	-5.13	37.1	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Y 2	5087.420	508.7420	-0.170	1.0841	8743.852	4.0	3.5200	28390.715	4.0	9.0	1.260	1.250	GA	2.04E+08	8.310	-6.400	-7.810	-7.810	-7.810	1.000	0.720	53.030	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	508.7422	508.7262	508.7652		130666	130650	130689	0.413	0.393	508.7262	508.7652	130650	130689	508.7424	0.0044	-0.4121	1.000	9999.0000	0.0014	0.0103	6.0630	49446	0.412	0.411	0.0045	-5.05	45.1	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Cu 1	5105.541	510.5541	-1.516	1.3900	11211.101	2.5	3.8170	30786.181	1.5	4.0	1.230	1.330	GA	1.58E+08	8.200	-6.070	-7.790	-7.790	-7.790	1.000	0.780	73.600	s	p	F	0	1	29.0	29.0	29.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	510.5543	510.5383	510.5843		132478	132462	132508	0.625	0.604	510.5383	510.5843	132462	132508	510.5542	0.0058	-0.6268	1.000	9999.0000	0.0013	0.0137	8.0618	37187	0.627	0.626	0.0092	-4.75	91.6	0.0	0.0	0.000	0.000	0.0000	0.020	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5113.448	511.3448	-0.783	1.4430	11638.574	3.0	3.8670	31189.459	2.0	5.0	1.080	1.170	AO	2.34E+07	7.370	-6.010	298.243	-7.660	298.243	1.000	0.490	30.770	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	511.3444	511.3334	511.3614		133268	133257	133285	0.249	0.228	511.3334	511.3614	133257	133285	511.3445	0.0042	-0.2465	1.000	9999.0000	0.0022	0.0100	5.8593	51165	0.246	0.241	0.0026	-5.29	26.2	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5127.359	512.7359	-3.307	0.9150	7379.969	4.0	3.3320	26874.393	5.0	11.0	1.350	1.400	AO	1.86E+07	7.270	-6.150	243.246	-7.749	243.246	1.000	0.840	102.000	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	512.7365	512.7105	512.7545		134660	134634	134678	0.683	0.663	512.7105	512.7545	134634	134678	512.7365	0.0054	-0.6843	1.000	9999.0000	0.0011	0.0127	7.4118	40448	0.684	0.681	0.0092	-4.74	92.3	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5147.479	514.7479	-2.012	0.0000	0.000	2.0	2.4080	19421.830	3.0	7.0	0.670	1.070	AO	6.61E+06	6.820	-6.110	255.243	-7.727	255.243	1.000	0.590	39.980	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	514.7486	514.7326	514.7606		136672	136656	136684	0.338	0.317	514.7326	514.7606	136656	136684	514.7482	0.0042	-0.3393	1.000	9999.0000	0.0018	0.0099	5.7401	52228	0.339	0.338	0.0036	-5.16	35.6	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Ni 1	5176.560	517.6560	-0.440	3.8982	31441.088	2.0	6.2930	50756.468	2.0	5.0	1.060	1.190	AO	1.58E+08	8.200	-4.500	819.277	-7.227	819.277	1.000	0.670	61.730	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	517.6568	517.6378	517.6708		139580	139561	139594	0.434	0.413	517.6378	517.6708	139561	139594	517.6563	0.0049	-0.4343	1.000	9999.0000	0.0016	0.0115	6.6319	45204	0.434	0.434	0.0053	-4.99	52.9	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 2	5197.577	519.7577	-2.220	3.2306	26056.534	2.5	5.6150	45288.030	1.5	4.0	0.570	0.450	AO	2.88E+08	8.460	-6.530	180.247	-7.880	180.247	1.000	0.770	91.650	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	519.7580	519.7370	519.7770		141681	141660	141700	0.568	0.547	519.7370	519.7770	141660	141700	519.7575	0.0053	-0.5680	1.000	9999.0000	0.0013	0.0126	7.2589	41300	0.568	0.557	0.0076	-4.83	76.1	0.0	0.0	0.000	0.000	0.0000	0.015	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5198.711	519.8711	-2.135	2.2230	17929.695	1.0	4.6070	37157.961	2.0	5.0	2.500	1.840	AO	1.70E+08	8.230	-6.070	351.271	-7.594	351.271	1.000	0.800	100.640	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	519.8720	519.8440	519.8990		141795	141767	141822	0.663	0.643	519.8440	519.8990	141767	141822	519.8717	0.0055	-0.6642	1.000	9999.0000	0.0010	0.0130	7.5010	39967	0.664	0.659	0.0092	-4.75	92.0	0.0	0.0	0.000	0.000	0.0000	0.018	0.0000	0.0000	0	0.000	False	False	False
Y 2	5200.413	520.0413	-0.570	0.9923	8003.435	2.0	3.3760	27229.277	2.0	5.0	0.670	0.760	GA	2.00E+08	8.300	-6.400	-7.800	-7.800	-7.800	1.000	0.640	41.050	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	520.0410	520.0290	520.0610		141964	141952	141984	0.323	0.302	520.0290	520.0610	141952	141984	520.0414	0.0044	-0.3232	1.000	9999.0000	0.0018	0.0104	5.9758	50168	0.323	0.320	0.0036	-5.16	35.7	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Ti 2	5211.540	521.1540	-1.490	2.5900	20889.749	3.5	4.9690	40077.688	3.5	8.0	1.140	1.160	GA	2.63E+08	8.420	-6.480	-7.830	-7.830	-7.830	1.000	0.500	34.600	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	521.1531	521.1381	521.1671		143076	143061	143090	0.269	0.249	521.1381	521.1671	143061	143090	521.1534	0.0047	-0.2692	1.000	9999.0000	0.0022	0.0110	6.3406	47282	0.269	0.266	0.0032	-5.22	31.6	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Co 1	5212.691	521.2691	-0.110	3.5144	28345.534	4.5	5.8920	47522.185	4.5	10.0	1.330	1.330	AO	1.00E+08	8.000	-5.470	779.235	-7.241	779.235	1.000	0.380	23.650	d	f	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	521.2691	521.2501	521.2881		143192	143173	143211	0.132	0.111	521.2501	521.2881	143173	143211	521.2691	0.0065	-0.1319	1.000	9999.0000	0.0040	0.0154	8.8639	33822	0.132	0.128	0.0022	-5.38	21.6	0.0	0.0	0.000	0.000	0.0000	0.002	0.0000	0.0000	0	0.000	False	False	False
Cu 1	5218.197	521.8197	0.476	3.8160	30778.101	1.5	6.1920	49941.848	2.5	6.0	1.330	1.190	GA	2.51E+08	8.400	-4.890	-7.500	-7.500	-7.500	1.000	0.670	56.710	p	d	F	0	1	29.0	29.0	29.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	521.8211	521.8051	521.8401		143744	143728	143763	0.399	0.378	521.8051	521.8401	143728	143763	521.8207	0.0049	-0.3993	1.000	9999.0000	0.0016	0.0115	6.6027	45404	0.399	0.392	0.0049	-5.03	48.9	0.0	0.0	0.000	0.000	0.0000	0.013	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5219.700	521.9700	-2.292	0.0210	169.376	3.0	2.3960	19325.043	2.0	5.0	1.080	0.670	AO	6.61E+06	6.820	-6.110	255.243	-7.727	255.243	1.000	0.430	26.360	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	521.9701	521.9531	521.9861		143893	143876	143909	0.239	0.218	521.9531	521.9861	143876	143909	521.9702	0.0045	-0.2388	1.000	9999.0000	0.0022	0.0106	6.0839	49276	0.239	0.238	0.0027	-5.29	26.9	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5225.525	522.5525	-4.789	0.1101	888.016	1.0	2.4820	20018.680	1.0	3.0	1.500	3.000	AO	1.66E+03	3.220	-6.280	207.253	-7.820	207.253	1.000	0.780	71.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	522.5532	522.5352	522.5692		144476	144458	144492	0.590	0.569	522.5352	522.5692	144458	144492	522.5532	0.0046	-0.5898	1.000	9999.0000	0.0012	0.0109	6.2677	47832	0.590	0.586	0.0069	-4.88	68.6	0.0	0.0	0.000	0.000	0.0000	0.002	0.0000	0.0000	0	0.000	False	False	False
Fe 2	5234.625	523.4625	-2.180	3.2215	25983.137	3.5	5.5890	45078.325	2.5	6.0	0.980	1.070	AO	2.88E+08	8.460	-6.530	180.249	-7.880	180.249	1.000	0.750	85.480	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	523.4632	523.4372	523.4912		145386	145360	145414	0.573	0.552	523.4372	523.4912	145360	145414	523.4631	0.0054	-0.5713	1.000	9999.0000	0.0011	0.0126	7.2234	41503	0.571	0.566	0.0077	-4.83	76.7	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Cr 2	5237.328	523.7328	-1.087	4.0730	32850.944	4.5	6.4400	51942.103	4.5	10.0	1.330	1.340	AO	2.34E+08	8.370	-6.560	225.213	-7.776	225.213	1.000	0.560	43.960	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	523.7322	523.7142	523.7502		145655	145637	145673	0.396	0.375	523.7142	523.7502	145637	145673	523.7325	0.0051	-0.3954	1.000	9999.0000	0.0017	0.0119	6.8390	43836	0.395	0.385	0.0050	-5.02	50.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5242.491	524.2491	-0.967	3.6340	29310.172	6.0	5.9990	48385.198	5.0	11.0	1.010	1.020	AO	7.08E+07	7.850	-6.120	361.248	-7.578	361.248	1.000	0.760	89.860	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	524.2493	524.2293	524.2733		146172	146152	146196	0.613	0.592	524.2293	524.2733	146152	146196	524.2497	0.0053	-0.6149	1.000	9999.0000	0.0012	0.0125	7.1665	41833	0.615	0.614	0.0082	-4.81	82.0	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5247.050	524.7050	-4.946	0.0872	703.315	2.0	2.4500	19760.583	3.0	7.0	1.500	1.750	AO	4.27E+03	3.630	-6.280	206.253	-7.822	206.253	1.000	0.760	66.200	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	524.7053	524.6883	524.7203		146628	146611	146643	0.560	0.539	524.6883	524.7203	146611	146643	524.7056	0.0046	-0.5600	1.000	9999.0000	0.0013	0.0107	6.1297	48908	0.560	0.550	0.0064	-4.91	64.0	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Cr 1	5247.566	524.7566	-1.590	0.9600	7742.918	0.0	3.3230	26801.803	1.0	3.0	0.000	2.510	AO	6.61E+07	7.820	-5.920	329.263	-7.621	329.263	1.000	0.770	82.600	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	524.7573	524.7403	524.7763		146680	146663	146699	0.612	0.592	524.7403	524.7763	146663	146699	524.7572	0.0052	-0.6129	1.000	9999.0000	0.0013	0.0122	6.9537	43113	0.613	0.605	0.0079	-4.82	79.4	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5250.208	525.0208	-4.938	0.1212	977.543	0.0	2.4820	20018.680	1.0	3.0	0.000	3.000	AO	1.66E+03	3.220	-6.280	207.253	-7.820	207.253	1.000	0.760	65.100	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	525.0213	525.0063	525.0403		146944	146929	146963	0.553	0.532	525.0063	525.0403	146929	146963	525.0214	0.0046	-0.5518	1.000	9999.0000	0.0013	0.0109	6.2081	48290	0.552	0.547	0.0064	-4.91	63.9	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Ca 1	5260.387	526.0387	-1.719	2.5210	20333.226	1.0	4.8780	39343.724	2.0	5.0	0.500	1.500	AO	7.98E+07	7.902	-5.756	421.260	-7.512	421.260	1.000	0.460	33.600	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	526.0384	526.0164	526.0544		147961	147939	147977	0.263	0.243	526.0164	526.0544	147939	147977	526.0386	0.0047	-0.2628	1.000	9999.0000	0.0020	0.0111	6.3315	47350	0.263	0.257	0.0031	-5.23	31.1	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 2	5264.812	526.4812	-3.130	3.2304	26054.920	2.5	5.5850	45046.063	1.5	4.0	0.570	1.150	AO	3.63E+08	8.560	-6.530	186.300	-7.875	186.300	1.000	0.590	45.870	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	526.4804	526.4624	526.4994		148403	148385	148422	0.341	0.320	526.4624	526.4994	148385	148422	526.4808	0.0045	-0.3416	1.000	9999.0000	0.0017	0.0106	6.0341	49683	0.342	0.312	0.0039	-5.14	38.5	0.0	0.0	0.000	0.000	0.0000	0.017	0.0000	0.0000	0	0.000	False	False	False
Cr 1	5272.007	527.2007	-0.420	3.4490	27818.047	3.0	5.8000	46780.155	4.0	9.0	1.930	1.630	AO	2.95E+08	8.470	-5.220	757.238	-7.254	757.238	1.000	0.380	25.500	d	f	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	527.2005	527.1805	527.2125		149123	149103	149135	0.206	0.185	527.1805	527.2125	149103	149135	527.2003	0.0047	-0.2051	1.000	9999.0000	0.0024	0.0111	6.3326	47341	0.205	0.203	0.0024	-5.34	24.3	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5295.312	529.5312	-1.490	4.4150	35609.359	3.0	6.7560	54490.815	3.0	7.0	0.890	0.480	AO	2.09E+08	8.320	-4.670	1014.281	-7.135	1014.281	1.000	0.340	22.750	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	529.5317	529.5147	529.5507		151454	151437	151473	0.251	0.231	529.5147	529.5507	151437	151473	529.5316	0.0046	-0.2497	1.000	9999.0000	0.0019	0.0108	6.1199	48986	0.250	0.246	0.0029	-5.27	28.7	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Cr 1	5296.691	529.6691	-1.360	0.9830	7928.426	2.0	3.3230	26801.803	1.0	3.0	1.500	2.510	AO	6.61E+07	7.820	-5.920	329.263	-7.621	329.263	1.000	0.790	93.570	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	529.6697	529.6517	529.6917		151592	151574	151614	0.651	0.631	529.6517	529.6917	151574	151614	529.6698	0.0055	-0.6516	1.000	9999.0000	0.0012	0.0129	7.2874	41139	0.652	0.647	0.0089	-4.77	89.3	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Cr 1	5300.744	530.0744	-2.130	0.9820	7920.360	2.0	3.3210	26785.672	3.0	7.0	1.500	1.670	AO	6.46E+07	7.810	-5.910	329.263	-7.621	329.263	1.000	0.710	62.250	X	X	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	530.0747	530.0587	530.0927		151997	151981	152015	0.476	0.455	530.0587	530.0927	151981	152015	530.0751	0.0048	-0.4768	1.000	9999.0000	0.0014	0.0112	6.3419	47271	0.477	0.467	0.0057	-4.97	56.9	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Co 1	5342.695	534.2695	0.540	4.0210	32431.536	5.5	6.3410	51143.615	6.5	14.0	1.290	1.220	GA	2.45E+08	8.390	-4.590	-7.510	-7.510	-7.510	1.000	0.540	39.500	p	d	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	534.2700	534.2540	534.2880		156192	156176	156210	0.243	0.222	534.2540	534.2880	156176	156210	534.2705	0.0050	-0.2435	1.000	9999.0000	0.0025	0.0117	6.5420	45826	0.244	0.239	0.0030	-5.25	30.2	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Cr 1	5348.312	534.8312	-1.210	1.0036	8094.576	3.0	3.3210	26785.672	3.0	7.0	1.500	1.670	AO	6.46E+07	7.810	-5.910	329.262	-7.620	329.262	1.000	0.790	101.370	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	534.8320	534.8140	534.8600		156754	156736	156782	0.647	0.627	534.8140	534.8600	156736	156782	534.8324	0.0058	-0.6487	1.000	9999.0000	0.0012	0.0137	7.7025	38921	0.649	0.645	0.0095	-4.75	94.9	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5373.709	537.3709	-0.770	4.4730	36077.160	3.0	6.7800	54684.388	4.0	9.0	0.790	1.140	AO	1.38E+08	8.140	-4.950	1044.282	-7.123	1044.282	1.000	0.640	62.540	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	537.3712	537.3492	537.3922		159293	159271	159314	0.467	0.446	537.3492	537.3922	159271	159314	537.3713	0.0051	-0.4658	1.000	9999.0000	0.0014	0.0120	6.6708	44941	0.466	0.465	0.0059	-4.96	59.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5379.574	537.9574	-1.514	3.6940	29794.105	4.0	5.9990	48385.198	5.0	11.0	0.980	1.020	AO	7.08E+07	7.850	-6.120	363.249	-7.575	363.249	1.000	0.670	60.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	537.9583	537.9373	537.9803		159880	159859	159902	0.470	0.449	537.9373	537.9803	159859	159902	537.9579	0.0049	-0.4702	1.000	9999.0000	0.0013	0.0116	6.4549	46444	0.470	0.470	0.0058	-4.97	58.0	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Ti 2	5381.015	538.1015	-1.970	1.5650	12622.570	1.5	3.8690	31205.590	2.5	6.0	0.800	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.650	54.660	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	538.1023	538.0843	538.1233		160024	160006	160045	0.439	0.418	538.0843	538.1233	160006	160045	538.1026	0.0051	-0.4390	1.000	9999.0000	0.0015	0.0120	6.6982	44757	0.439	0.429	0.0056	-4.98	56.2	0.0	0.0	0.000	0.000	0.0000	0.017	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5386.334	538.6334	-1.740	4.1540	33504.253	3.0	6.4560	52071.152	2.0	5.0	1.490	1.810	AO	2.82E+08	8.450	-4.470	930.278	-7.172	930.278	1.000	0.430	29.890	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	538.6333	538.6193	538.6493		160555	160541	160571	0.265	0.245	538.6193	538.6493	160541	160571	538.6335	0.0047	-0.2656	1.000	9999.0000	0.0022	0.0111	6.1729	48566	0.266	0.260	0.0031	-5.24	31.4	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Mn 1	5399.470	539.9470	-0.104	3.8500	31052.329	1.5	6.1490	49595.030	1.5	4.0	1.730	2.000	GA	7.94E+07	7.900	-5.390	-7.590	-7.590	-7.590	1.000	0.420	27.250	p	s	F	0	1	25.0	25.0	25.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	539.9484	539.9254	539.9704		161870	161847	161892	0.230	0.209	539.9254	539.9704	161847	161892	539.9481	0.0066	-0.2297	1.000	9999.0000	0.0027	0.0156	8.6781	34546	0.230	0.224	0.0038	-5.15	38.2	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 2	5414.073	541.4073	-3.580	3.2215	25983.137	3.5	5.5110	44449.213	3.5	8.0	0.980	1.400	AO	3.63E+08	8.560	-6.530	185.303	-7.878	185.303	1.000	0.430	29.200	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	541.4075	541.3855	541.4265		163329	163307	163348	0.215	0.195	541.3855	541.4265	163307	163348	541.4075	0.0048	-0.2150	1.000	9999.0000	0.0022	0.0114	6.2926	47642	0.215	0.213	0.0026	-5.32	26.0	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
